City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,3.08,89,11,3.96,SJ,1697956727
1,hawaiian paradise park,19.5933,-154.9731,23.73,90,100,2.57,US,1697956727
2,papatowai,-46.5619,169.4708,7.33,70,7,2.36,NZ,1697956728
3,georgetown,5.4112,100.3354,31.96,72,40,5.14,MY,1697956728
4,blackmans bay,-43.0167,147.3167,15.29,75,24,3.4,AU,1697956729
5,isafjordur,66.0755,-23.124,3.85,84,100,3.42,IS,1697956730
6,grytviken,-54.2811,-36.5092,0.44,82,100,4.17,GS,1697956730
7,atafu village,-8.5421,-172.5159,28.95,73,95,3.2,TK,1697956731
8,camiri,-20.05,-63.5167,21.64,60,100,1.13,BO,1697956731
9,marrakesh,31.6315,-8.0083,16.04,82,23,3.09,MA,1697956732
10,adamstown,-25.066,-130.1015,22.43,85,0,4.39,PN,1697956732
11,sur,22.5667,59.5289,32.01,42,20,2.95,OM,1697956733
12,bredasdorp,-34.5322,20.0403,17.02,69,23,9.14,ZA,1697956733
13,eyl,7.9803,49.8164,30.36,57,93,2.71,SO,1697956734
14,ushuaia,-54.8,-68.3,5.81,65,0,5.14,AR,1697956734
15,monywa,22.1167,95.1333,31.45,54,10,2.7,MM,1697956735
16,aykhal,66.0,111.5,-7.24,99,100,2.53,RU,1697956735
17,kavaratti,10.5669,72.642,28.46,72,12,2.86,IN,1697956736
18,yellowknife,62.456,-114.3525,-4.69,67,0,6.71,CA,1697956736
19,ribeira grande,38.5167,-28.7,18.22,68,40,3.09,PT,1697956737
20,saint croix,17.7397,-64.7388,26.25,87,75,2.06,VI,1697956443
21,albany,42.6001,-73.9662,10.88,78,100,0.45,US,1697956584
22,tiksi,71.6872,128.8694,-20.76,100,95,0.14,RU,1697956738
23,kodiak,57.79,-152.4072,1.73,69,0,4.12,US,1697956739
24,port douglas,-16.4833,145.4667,24.78,63,11,3.19,AU,1697956739
25,puerto natales,-51.7236,-72.4875,1.64,94,88,2.3,CL,1697956740
26,waitangi,-43.9535,-176.5597,6.57,84,100,1.34,NZ,1697956741
27,fort st. john,56.2499,-120.8529,-2.06,100,100,3.6,CA,1697956683
28,yaren,-0.5472,166.916,28.87,78,87,5.3,NR,1697956742
29,geraldton,-28.7667,114.6,23.23,64,100,8.23,AU,1697956743
30,utrik,11.2278,169.8474,28.07,82,100,6.66,MH,1697956743
31,tikapur,28.5,81.1333,28.28,43,1,2.53,NP,1697956744
32,tidjikja,18.5564,-11.4271,26.25,33,2,3.74,MR,1697956744
33,bilibino,68.0546,166.4372,-6.06,92,100,1.75,RU,1697956509
34,puerto baquerizo moreno,-0.9,-89.6,23.21,88,100,4.55,EC,1697956746
35,formosa do rio preto,-11.0483,-45.1931,25.35,43,58,2.27,BR,1697956746
36,fortuna,40.5982,-124.1573,14.25,95,0,0.0,US,1697956747
37,bethel,41.3712,-73.414,13.05,74,20,3.6,US,1697956747
38,chonchi,-42.6128,-73.8092,4.56,95,5,1.65,CL,1697956748
39,birniwa,12.7903,10.2348,28.88,15,16,5.14,NG,1697956748
40,chinde,26.8418,88.0763,23.17,47,0,1.95,NP,1697956749
41,west island,-12.1568,96.8225,25.07,75,100,5.54,CC,1697956749
42,flying fish cove,-10.4217,105.6791,28.82,69,100,2.57,CX,1697956750
43,hamilton,39.1834,-84.5333,12.74,80,75,5.36,US,1697956665
44,kaduy,59.2,37.15,-0.12,62,100,1.67,RU,1697956751
45,ilulissat,69.2167,-51.1,-3.99,58,0,7.72,GL,1697956752
46,sao tome,0.3365,6.7273,24.02,88,75,3.09,ST,1697956752
47,port-aux-francais,-49.35,70.2167,2.46,80,62,10.62,TF,1697956753
48,port elizabeth,-33.918,25.5701,18.51,65,0,3.6,ZA,1697956753
49,mhango,-3.2833,32.85,28.32,42,98,1.6,TZ,1697956754
50,iqaluit,63.7506,-68.5145,-5.15,73,100,1.03,CA,1697956754
51,mooirivier,-29.2082,29.9946,12.69,84,83,5.1,ZA,1697956755
52,barra de santo antonio,-9.4047,-35.5072,22.6,85,24,3.11,BR,1697956755
53,kuraymah,18.55,31.85,31.76,18,0,4.8,SD,1697956756
54,lebu,-37.6167,-73.65,9.07,92,23,5.75,CL,1697956757
55,dudinka,69.4058,86.1778,-0.21,82,100,6.07,RU,1697956757
56,kulhudhuffushi,6.6221,73.07,28.22,72,14,2.71,MV,1697956758
57,pangkalpinang,-2.1333,106.1333,31.69,56,100,4.14,ID,1697956758
58,talnakh,69.4865,88.3972,-0.44,82,100,3.83,RU,1697956759
59,kushiro,42.975,144.3747,11.53,54,75,4.12,JP,1697956759
60,lodja,-3.4833,23.4333,28.97,62,68,0.99,CD,1697956760
61,minas de marcona,-15.2119,-75.1103,14.86,94,99,3.66,PE,1697956760
62,codrington,-38.2667,141.9667,12.53,60,100,9.65,AU,1697956761
63,gorna oryahovitsa,43.1278,25.7017,22.06,59,75,3.09,BG,1697956762
64,puerto ayora,-0.7393,-90.3518,22.98,90,28,2.66,EC,1697956762
65,palangkaraya,-2.2,113.8333,32.42,57,100,1.18,ID,1697956763
66,longboat key,27.4125,-82.659,23.03,82,40,2.57,US,1697956763
67,pisco,-13.7,-76.2167,19.03,88,98,2.57,PE,1697956764
68,kita,13.0349,-9.4895,24.03,75,100,0.46,ML,1697956764
69,muisne,0.6,-80.0333,25.06,85,100,2.72,EC,1697956765
70,san luis de la loma,17.2706,-100.8939,26.17,87,100,1.3,MX,1697956765
71,howrah,22.5892,88.3103,31.0,58,75,2.57,IN,1697956766
72,dhuusamarreeb,5.535,46.3861,29.28,58,9,3.45,SO,1697956767
73,saltburn-by-the-sea,54.5824,-0.9737,6.99,92,100,1.79,GB,1697956767
74,vadso,70.0744,29.7487,1.49,86,100,3.6,NO,1697956768
75,edinburgh of the seven seas,-37.0676,-12.3116,13.57,89,15,7.86,SH,1697956769
76,avarua,-21.2078,-159.775,22.03,94,20,2.57,CK,1697956770
77,constantia,44.1833,28.65,23.17,47,5,3.34,RO,1697956770
78,longyearbyen,78.2186,15.6401,-8.09,67,0,1.03,SJ,1697956771
79,badou,7.5833,0.6,24.24,86,59,0.6,TG,1697956771
80,mount gambier,-37.8333,140.7667,13.34,56,37,5.9,AU,1697956772
81,shimoda,34.6667,138.95,19.2,62,53,3.4,JP,1697956774
82,nashville,36.1659,-86.7844,18.17,59,0,2.06,US,1697956733
83,lorengau,-2.0226,147.2712,28.82,69,93,3.56,PG,1697956775
84,usinsk,65.9939,57.5281,-0.59,91,100,12.08,RU,1697956776
85,keflavik,64.0049,-22.5624,5.24,87,75,3.09,IS,1697956776
86,acarau,-2.8856,-40.12,25.59,83,30,8.11,BR,1697956777
87,tor lupara,42.0017,12.6219,18.73,85,77,2.24,IT,1697956777
88,wailua homesteads,22.0669,-159.378,25.24,86,100,0.0,US,1697956778
89,trujillo,-8.116,-79.03,19.98,88,100,3.6,PE,1697956778
90,enewetak,11.3474,162.3373,28.75,70,95,1.74,MH,1697956779
91,lijiang,26.8688,100.2207,19.56,26,0,2.34,CN,1697956779
92,ancud,-41.8697,-73.8203,5.63,87,0,1.37,CL,1697956780
93,san nicolas,18.1725,120.5953,31.95,66,75,4.12,PH,1697956781
94,yevpatoriya,45.1972,33.3558,20.06,79,1,4.65,UA,1697956781
95,sarkand,45.41,79.9186,20.2,36,36,2.21,KZ,1697956782
96,wotho,10.1657,166.0102,28.67,71,100,2.31,MH,1697956783
97,cidreira,-30.1811,-50.2056,18.06,92,48,8.5,BR,1697956783
98,ugoofaaru,5.6667,73.0,28.01,72,11,2.72,MV,1697956784
99,bacalar,18.6667,-88.3833,22.11,90,73,1.41,MX,1697956784
100,acapulco de juarez,16.8634,-99.8901,26.9,89,40,1.54,MX,1697956785
101,banda aceh,5.5577,95.3222,28.39,66,100,2.88,ID,1697956786
102,isla mujeres,21.2311,-86.731,22.03,58,95,3.75,MX,1697956786
103,betio village,1.358,172.9211,27.02,69,100,0.78,KI,1697956788
104,padang,-0.9492,100.3543,29.03,82,100,1.56,ID,1697956788
105,champerico,14.3,-91.9167,24.92,91,99,4.42,GT,1697956789
106,jamestown,42.097,-79.2353,7.77,97,100,3.6,US,1697956592
107,haiku-pauwela,20.9219,-156.3051,23.36,88,100,2.57,US,1697956790
108,hermanus,-34.4187,19.2345,16.64,73,31,8.96,ZA,1697956791
109,margaret river,-33.95,115.0667,16.19,65,36,6.55,AU,1697956791
110,shingu,33.7333,135.9833,17.46,56,1,1.31,JP,1697956792
111,badger,64.8,-147.5333,-3.07,75,100,3.09,US,1697956792
112,prince rupert,54.3161,-130.3201,9.83,87,0,5.66,CA,1697956793
113,harrismith,-28.2728,29.1295,13.6,71,56,6.18,ZA,1697956794
114,balqash,46.8481,74.995,13.33,82,40,6.0,KZ,1697956794
115,mayqayyng,51.4625,75.7986,10.46,51,100,7.78,KZ,1697956795
116,chipata,-13.6333,32.65,28.55,37,96,4.02,ZM,1697956795
117,olavarria,-36.8927,-60.3225,14.13,98,99,2.85,AR,1697956796
118,thompson,55.7435,-97.8558,-0.91,93,100,0.0,CA,1697956796
119,banff,51.1762,-115.5698,4.21,75,100,3.09,CA,1697956713
120,zaysan,47.4667,84.8667,15.19,48,73,3.05,KZ,1697956797
121,port moresby,-9.4431,147.1797,24.97,81,100,4.0,PG,1697956798
122,iskateley,67.6803,53.1512,-0.03,81,93,9.36,RU,1697956798
123,afaahiti,-17.75,-149.2833,25.59,80,93,5.34,PF,1697956799
124,queenstown,-31.8976,26.8753,9.76,93,100,3.89,ZA,1697956799
125,ust-nera,64.5667,143.2,-7.8,96,100,3.08,RU,1697956800
126,stanley,54.868,-1.6985,2.62,95,100,0.51,GB,1697956800
127,bogorodskoye,56.55,37.8833,0.83,89,100,2.43,RU,1697956801
128,ponta delgada,37.7333,-25.6667,17.4,72,20,6.69,PT,1697956802
129,portland,45.5234,-122.6762,14.99,96,100,0.45,US,1697956432
130,chivilcoy,-34.8957,-60.0167,16.22,98,100,4.73,AR,1697956803
131,saint-pierre,-21.3393,55.4781,26.82,61,0,7.2,RE,1697956803
132,hovd,48.0056,91.6419,13.64,30,47,1.64,MN,1697956804
133,tsiombe,-25.3,45.4833,33.39,31,0,4.11,MG,1697956805
134,butembo,0.15,29.2833,23.37,50,9,1.01,CD,1697956805
135,carnarvon,-24.8667,113.6333,24.93,58,100,9.73,AU,1697956806
136,lihue,21.9789,-159.3672,25.58,86,100,0.0,US,1697956735
137,sola,-13.8833,167.55,25.37,100,100,6.17,VU,1697956807
138,salalah,17.0151,54.0924,30.05,62,20,4.63,OM,1697956807
139,tofol,5.3248,163.0078,30.88,70,75,1.03,FM,1697956808
140,tolanaro,-25.0319,46.9987,28.04,69,20,9.26,MG,1697956809
141,newman,37.3138,-121.0208,17.13,78,81,1.59,US,1697956809
142,nilsia,63.2,28.0833,-2.08,65,71,1.16,FI,1697956810
143,arteche,12.2645,125.4048,29.0,73,100,2.27,PH,1697956811
144,menongue,-14.6585,17.691,26.11,44,48,2.89,AO,1697956811
145,island harbour,50.724,-1.2758,9.96,87,24,2.65,GB,1697956812
146,haimen,23.1935,116.6142,26.94,85,100,3.81,CN,1697956812
147,taguatinga,-12.3857,-46.5711,24.01,72,42,3.01,BR,1697956813
148,port lincoln,-34.7333,135.8667,14.58,55,100,5.19,AU,1697956577
149,vanimo,-2.6741,141.3028,29.3,70,16,3.78,PG,1697956814
150,bonanza,14.0289,-84.591,21.66,99,99,1.14,NI,1697956815
151,suva,-18.1416,178.4415,26.71,78,75,2.06,FJ,1697956562
152,grajau,-5.8194,-46.1386,24.71,75,11,2.74,BR,1697956816
153,khandyga,62.6667,135.6,-10.68,95,100,0.12,RU,1697956817
154,semera,11.501,41.201,28.84,42,3,6.66,ET,1697956817
155,evinayong,1.4368,10.5512,20.53,99,100,0.39,GQ,1697956818
156,porangatu,-13.4408,-49.1486,25.92,60,52,1.78,BR,1697956818
157,invercargill,-46.4,168.35,7.81,69,4,1.84,NZ,1697956819
158,beloyarskiy,63.7119,66.6722,0.8,57,100,5.58,RU,1697956819
159,kalianget,-7.05,113.9333,30.13,62,37,6.08,ID,1697956820
160,gargalianoi,37.0667,21.6333,21.31,79,100,6.11,GR,1697956821
161,sarikei,2.1167,111.5167,27.83,87,100,0.81,MY,1697956564
162,kontcha,7.9667,12.2333,26.88,62,61,1.09,CM,1697956822
163,tazovsky,67.4667,78.7,-1.22,79,97,8.33,RU,1697956822
164,klyuchi,52.2667,79.1667,7.97,46,100,7.08,RU,1697956823
165,shasta lake,40.6804,-122.3708,16.4,70,2,0.63,US,1697956823
166,pinckneyville,38.0803,-89.382,13.31,61,0,3.22,US,1697956824
167,sinabang,2.4803,96.3801,25.09,89,100,0.63,ID,1697956824
168,nemuro,43.3236,145.575,10.7,57,100,9.71,JP,1697956825
169,lockwood,45.8191,-108.4149,9.8,71,0,5.66,US,1697956826
170,baie-comeau,49.2168,-68.1489,11.82,94,100,4.12,CA,1697956826
171,qaqortoq,60.7167,-46.0333,0.06,48,99,2.8,GL,1697956827
172,falam,22.9167,93.6833,21.16,76,82,1.39,MM,1697956827
173,port mathurin,-19.6833,63.4167,24.68,81,0,4.17,MU,1697956828
174,celestun,20.8667,-90.4,23.4,79,11,5.19,MX,1697956829
175,acajutla,13.5928,-89.8275,25.14,88,97,2.21,SV,1697956758
176,birsk,55.4211,55.5428,0.83,65,91,6.58,RU,1697956830
177,uturoa,-16.7333,-151.4333,26.41,80,100,4.3,PF,1697956831
178,tejen,37.3834,60.5054,25.17,32,2,3.52,TM,1697956831
179,punta arenas,-53.15,-70.9167,4.06,87,75,5.66,CL,1697956772
180,tymovskoye,50.8456,142.655,0.66,70,65,2.53,RU,1697956833
181,nantucket,41.2835,-70.0995,14.08,74,0,11.32,US,1697956682
182,kailua-kona,19.6406,-155.9956,23.11,98,79,1.03,US,1697956834
183,ingeniero jacobacci,-41.3427,-69.5448,10.91,70,6,2.54,AR,1697956835
184,vorgashor,67.5833,63.95,-6.16,90,16,4.96,RU,1697956836
185,susuman,62.7833,148.1667,-8.97,95,100,1.71,RU,1697956836
186,paita,-5.0892,-81.1144,20.67,84,28,5.2,PE,1697956586
187,albertina,-22.2008,-46.6158,15.95,94,8,2.26,BR,1697956837
188,copala,16.65,-98.9833,25.09,88,73,1.33,MX,1697956838
189,chekmagush,55.1319,54.6556,0.76,66,94,6.9,RU,1697956838
190,tindouf,27.6711,-8.1474,16.25,67,0,4.12,DZ,1697956839
191,constitucion,-35.3333,-72.4167,11.55,91,100,3.86,CL,1697956840
192,st. john's,47.5649,-52.7093,16.75,96,100,4.63,CA,1697956840
193,richards bay,-28.783,32.0377,19.6,87,100,5.98,ZA,1697956841
194,new norfolk,-42.7826,147.0587,15.95,85,93,1.72,AU,1697956841
195,odda,60.0691,6.5457,9.32,88,99,4.64,NO,1697956842
196,vilyuchinsk,52.9306,158.4028,9.15,63,100,3.32,RU,1697956842
197,garden city,42.3256,-83.331,8.0,79,75,4.12,US,1697956727
198,polyarnyy,69.1989,33.4478,0.93,87,100,6.66,RU,1697956843
199,aasiaat,68.7098,-52.8699,-7.97,89,96,1.93,GL,1697956844
200,udachny,66.4167,112.4,-3.08,68,99,1.79,RU,1697956844
201,san patricio,28.017,-97.5169,26.92,81,100,3.48,US,1697956845
202,kudat,6.8837,116.8477,31.96,70,20,3.13,MY,1697956846
203,enshi,30.3,109.4833,22.7,53,6,0.83,CN,1697956597
204,nuku'alofa,-21.1333,-175.2,25.19,88,20,4.63,TO,1697956847
205,laem sing,12.4816,102.0738,33.19,77,100,1.15,TH,1697956847
206,kingscliff,-28.2667,153.5667,26.54,65,4,10.29,AU,1697956848
207,flagstaff,35.1981,-111.6513,14.81,45,0,1.54,US,1697956848
208,erenhot,43.6475,111.9767,16.71,18,0,6.59,CN,1697956849
209,kapuskasing,49.4169,-82.4331,1.05,93,100,3.6,CA,1697956849
210,calama,-22.4667,-68.9333,15.27,41,0,4.63,CL,1697956850
211,unai,-16.3575,-46.9061,24.16,71,19,1.79,BR,1697956850
212,eraan,9.0629,117.7016,29.25,76,100,2.26,PH,1697956851
213,mucumpiz,8.4167,-71.1333,13.18,95,100,0.88,VE,1697956852
214,mafinga,-7.25,35.0667,28.88,33,46,2.56,TZ,1697956852
215,sitka,57.0531,-135.33,5.94,70,20,6.69,US,1697956652
216,igarka,67.4667,86.5833,-0.79,80,100,5.06,RU,1697956853
217,xilin hot,43.9667,116.0333,14.05,23,0,5.31,CN,1697956854
218,ostseebad kuhlungsborn,54.15,11.75,10.01,95,100,5.87,DE,1697956854
219,kununurra,-15.7667,128.7333,37.99,28,62,5.14,AU,1697956855
220,la ronge,55.1001,-105.2842,1.14,86,75,2.06,CA,1697956856
221,puerto san jose,13.9256,-90.8244,24.49,91,100,3.97,GT,1697956856
222,goundam,16.4145,-3.6708,30.54,29,9,2.19,ML,1697956857
223,ochakiv,46.6128,31.5498,18.73,81,0,3.92,UA,1697956858
224,hadibu,12.65,54.0333,25.73,91,100,14.99,YE,1697956859
225,ishinomaki,38.4167,141.3,18.0,51,15,3.96,JP,1697956859
226,nishinoomote,30.7333,131.0,21.31,45,20,2.57,JP,1697956860
227,maych'ew,12.7875,39.5422,17.57,60,12,4.09,ET,1697956860
228,whitehorse,60.7161,-135.0538,-7.57,58,75,4.12,CA,1697956861
229,oyama,36.3,139.8,19.37,37,25,4.5,JP,1697956861
230,dzuunmod,48.2199,97.3744,8.57,28,15,6.96,MN,1697956862
231,fale old settlement,-9.3852,-171.2468,28.76,73,83,2.72,TK,1697956863
232,andres bonifacio,10.9167,123.25,29.14,74,90,2.54,PH,1697956864
233,magadan,59.5667,150.8,1.41,98,100,8.66,RU,1697956865
234,lewistown,40.5992,-77.5714,9.67,71,20,3.6,US,1697956865
235,miles city,46.4083,-105.8406,11.54,50,0,5.14,US,1697956866
236,candido mendes,-1.4467,-45.7167,26.3,78,47,3.54,BR,1697956866
237,guiren,33.6697,118.1889,22.11,20,0,2.2,CN,1697956867
238,sinop,41.7711,34.8709,13.24,39,91,0.85,TR,1697956868
239,general conesa,-40.1,-64.4333,12.51,83,100,6.16,AR,1697956868
240,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,57,75,2.0,RU,1697956869
241,tobelo,1.7284,128.0095,28.68,74,91,0.74,ID,1697956869
242,selfoss,63.9331,-20.9971,3.36,80,100,1.46,IS,1697956870
243,kerikeri,-35.2268,173.9474,16.06,76,0,3.13,NZ,1697956870
244,mezhova,48.2532,36.7347,12.73,68,4,6.56,UA,1697956871
245,vega de alatorre,20.0333,-96.6333,24.4,83,100,4.84,MX,1697956871
246,salazie,-21.0273,55.539,24.79,73,0,8.23,RE,1697956872
247,puerto deseado,-47.7503,-65.8938,6.87,74,1,7.2,AR,1697956873
248,brigantine,39.4101,-74.3646,13.34,68,0,5.66,US,1697956874
249,gamba,-2.65,10.0,24.29,92,100,1.25,GA,1697956874
250,sao joao da barra,-21.6403,-41.0511,20.63,86,100,3.25,BR,1697956875
251,nyurba,63.2842,118.3319,-1.68,90,100,1.79,RU,1697956875
252,covington,39.0837,-84.5086,13.11,78,75,5.36,US,1697956876
253,vorkuta,67.5,64.0,-5.69,90,14,5.14,RU,1697956876
254,al qaryatayn,34.2296,37.2407,23.01,31,100,2.54,SY,1697956877
255,ljubuski,43.1969,17.545,17.68,81,65,1.41,BA,1697956878
256,kill devil hills,36.0307,-75.676,16.1,65,100,5.66,US,1697956878
257,yuli,9.6989,10.2744,28.27,24,94,1.47,NG,1697956879
258,hotan,37.0997,79.9269,19.84,12,41,4.29,CN,1697956879
259,leona vicario,20.9667,-87.1917,21.93,86,34,0.56,MX,1697956880
260,las khorey,11.1595,48.1967,29.49,63,70,3.43,SO,1697956881
261,ekibastuz,51.6667,75.3667,10.1,50,100,7.7,KZ,1697956882
262,halden,59.1226,11.3871,4.24,97,100,4.33,NO,1697956882
263,wschowa,51.807,16.3166,13.28,98,100,2.18,PL,1697956883
264,opelika,32.6454,-85.3783,16.03,73,100,2.68,US,1697956625
265,caraballeda,10.6112,-66.8522,28.54,82,75,3.09,VE,1697956884
266,upington,-28.4478,21.2561,18.21,52,0,2.57,ZA,1697956884
267,buka,40.8108,69.1986,21.52,38,0,2.44,UZ,1697956885
268,mount pearl,47.5166,-52.7813,16.29,96,100,4.63,CA,1697956886
269,crane,31.3974,-102.3501,22.76,40,100,6.49,US,1697956886
270,gaspe,48.8334,-64.4819,11.12,93,100,3.09,CA,1697956855
271,cozumel,20.5083,-86.9458,23.3,85,86,3.76,MX,1697956887
272,dongola,19.1667,30.4833,29.76,16,6,6.86,SD,1697956888
273,nogliki,51.8333,143.1667,2.16,57,38,5.99,RU,1697956888
274,fuerte olimpo,-21.0415,-57.8738,27.84,54,6,2.71,PY,1697956889
275,porto novo,6.4965,2.6036,26.9,85,100,0.4,BJ,1697956889
276,luderitz,-26.6481,15.1594,18.51,66,0,0.97,NA,1697956890
277,rio grande,-32.035,-52.0986,18.86,87,99,7.68,BR,1697956759
278,portel,-1.9356,-50.8211,24.0,93,100,1.92,BR,1697956891
279,preston,53.7667,-2.7167,8.27,86,72,1.56,GB,1697956892
280,cartagena,10.3997,-75.5144,25.79,94,20,1.03,CO,1697956892
281,az zulfi,26.2995,44.8154,31.82,17,5,5.25,SA,1697956893
282,vila velha,-20.3297,-40.2925,20.97,94,100,1.54,BR,1697956893
283,moyale,3.5167,39.0584,23.52,71,28,4.86,KE,1697956894
284,olyokminsk,60.3736,120.4264,1.23,68,100,1.82,RU,1697956895
285,vila franca do campo,37.7167,-25.4333,17.23,99,100,7.49,PT,1697956895
286,makurazaki,31.2667,130.3167,18.99,56,6,3.98,JP,1697956896
287,port alfred,-33.5906,26.891,16.77,82,100,0.89,ZA,1697956896
